# trial: trial_013.csv
# date: 2026-08-01T17:46:25
# note: gyro axis ID take 2: 3x slow cycle fwd-up-back-up, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
6251,-2.12,-2.12,-0.08,0.0,0.0,0.0,0,5000,0.03,-0.02
6272,-2.05,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,0.05
6292,-2.10,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.03,0.02
6312,-2.13,-2.12,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
6332,-2.02,-2.12,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
6352,-2.12,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.02,0.03
6373,-2.13,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.09,0.00
6393,-2.05,-2.12,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
6414,-2.33,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,0.00
6434,-2.12,-2.12,-0.06,0.0,0.0,0.0,0,5000,0.06,0.08
6455,-2.11,-2.12,0.03,0.0,0.0,0.0,0,5004,0.03,-0.02
6475,-2.24,-2.13,0.05,0.0,0.0,0.0,0,5004,-0.05,-0.05
6496,-2.24,-2.13,-0.05,0.0,0.0,0.0,0,5004,0.06,-0.06
6516,-2.22,-2.14,-0.03,0.0,0.0,0.0,0,5004,-0.03,0.00
6537,-2.00,-2.13,0.03,0.0,0.0,0.0,0,5004,0.00,-0.03
6557,-1.91,-2.13,0.00,0.0,0.0,0.0,0,5000,0.05,-0.03
6578,-2.27,-2.13,0.00,0.0,0.0,0.0,0,5000,-0.03,0.00
6597,-1.96,-2.13,0.00,0.0,0.0,0.0,0,5000,0.02,0.08
6618,-2.10,-2.13,-0.02,0.0,0.0,0.0,0,5000,0.05,0.00
6638,-1.89,-2.13,-0.06,0.0,0.0,0.0,0,5004,0.02,-0.02
6659,-2.19,-2.13,0.00,0.0,0.0,0.0,0,5000,-0.03,-0.05
6679,-2.08,-2.13,0.03,0.0,0.0,0.0,0,5004,-0.08,0.03
6700,-2.16,-2.12,0.00,0.0,0.0,0.0,0,5004,0.00,0.03
6720,-2.13,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.00,0.05
6740,-2.08,-2.11,0.11,0.0,0.0,0.0,0,5000,0.02,-0.05
6761,-2.02,-2.11,0.00,0.0,0.0,0.0,0,5004,-0.06,0.02
6781,-2.12,-2.10,0.03,0.0,0.0,0.0,0,5004,0.08,0.05
6802,-2.05,-2.11,0.03,0.0,0.0,0.0,0,5000,0.08,0.06
6822,-2.23,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.11,0.02
6843,-2.02,-2.11,-0.05,0.0,0.0,0.0,0,5000,0.00,-0.03
6862,-2.03,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
6883,-1.99,-2.10,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.05
6903,-2.36,-2.10,0.03,0.0,0.0,0.0,0,5004,0.05,-0.02
6924,-1.92,-2.11,0.02,0.0,0.0,0.0,0,5000,0.00,0.00
6944,-2.23,-2.11,0.02,0.0,0.0,0.0,0,5004,0.00,0.03
6965,-2.14,-2.11,0.02,0.0,0.0,0.0,0,5000,0.02,-0.06
6985,-2.12,-2.10,-0.03,0.0,0.0,0.0,0,5004,-0.03,-0.03
7006,-2.16,-2.10,-0.03,0.0,0.0,0.0,0,5004,0.00,0.02
7026,-2.17,-2.10,0.03,0.0,0.0,0.0,0,5000,0.00,0.06
7047,-2.27,-2.11,0.06,0.0,0.0,0.0,0,5004,0.06,0.03
7067,-2.17,-2.12,0.03,0.0,0.0,0.0,0,5004,0.08,-0.03
7088,-1.92,-2.11,0.06,0.0,0.0,0.0,0,5000,0.00,0.00
7108,-2.02,-2.11,0.02,0.0,0.0,0.0,0,5004,0.05,-0.02
7128,-2.03,-2.10,-0.03,0.0,0.0,0.0,0,5000,0.05,-0.03
7148,-2.08,-2.10,-0.05,0.0,0.0,0.0,0,5000,0.02,-0.06
7169,-2.04,-2.10,-0.09,0.0,0.0,0.0,0,5004,0.05,0.06
7189,-2.14,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.03,-0.02
7209,-2.20,-2.11,0.05,0.0,0.0,0.0,0,5000,0.03,0.05
7230,-2.31,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,0.09
7250,-2.14,-2.12,-0.09,0.0,0.0,0.0,0,5004,0.00,-0.02
7271,-2.11,-2.12,0.02,0.0,0.0,0.0,0,5004,-0.03,0.05
7291,-2.13,-2.13,0.05,0.0,0.0,0.0,0,5004,0.06,-0.06
7312,-1.95,-2.12,0.02,0.0,0.0,0.0,0,5000,0.05,0.00
7332,-1.94,-2.12,-0.05,0.0,0.0,0.0,0,5004,0.02,-0.09
7353,-2.15,-2.12,-0.12,0.0,0.0,0.0,0,5004,0.03,0.06
7373,-2.06,-2.12,0.06,0.0,0.0,0.0,0,5000,0.03,0.03
7394,-2.11,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.08,0.11
7414,-2.18,-2.13,0.02,0.0,0.0,0.0,0,5004,0.00,0.00
7435,-2.18,-2.13,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.02
7454,-2.23,-2.14,0.03,0.0,0.0,0.0,0,5004,0.09,0.00
